Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Sh,SoT,Dist,FK,PK,PKatt,Season,Team,schedule
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,W,3,0,Sheffield Utd,3.1,1,75,29116,Son Heung-min,4-2-3-1,Andy Madley,Match Report,18,9,14.4,1,0,0,2024,TottenhamHotspur,Late
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,W,2,1,Bournemouth,1.1,2.2,61,39724,Conor Gallagher,4-2-3-1,Anthony Taylor,Match Report,16,6,18.2,0,0,0,2024,Chelsea,Late
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,W,4,2,Brentford,3.4,1.1,46,17124,Dan Burn,04/03/2003,Simon Hooper,Match Report,12,7,15.4,2,0,0,2024,NewcastleUnited,Late
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,W,2,0,Brighton,1.3,1.7,45,31662,Bruno Fernandes,4-2-2-2,Craig Pawson,Match Report,11,4,17,0,0,0,2024,ManchesterUnited,Late
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,L,1,3,Manchester City,0.4,1.9,29,55097,Kurt Zouma,03/04/2003,John Brooks,Match Report,3,2,10.3,0,0,0,2024,WestHamUnited,Late
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,W,5,0,Aston Villa,2.5,0.9,54,25191,Marc Guéhi,03/04/2003,Darren Bond,Match Report,15,9,16.8,0,0,0,2024,CrystalPalace,Late
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,L,0,2,Manchester Utd,1.7,1.3,55,31662,Adam Lallana,4-2-3-1,Craig Pawson,Match Report,17,2,14.2,0,0,0,2024,BrightonandHoveAlbion,Late
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,L,1,2,Chelsea,2.2,1.1,39,39724,Neto,4-2-3-1,Anthony Taylor,Match Report,22,5,16.8,0,0,0,2024,Bournemouth,Late
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,W,4,2,Luton Town,1.1,2,59,12027,Tim Ream,4-2-3-1,Matt Donohue,Match Report,16,8,21.6,2,0,0,2024,Fulham,Late
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,L,0,2,Liverpool,0.5,4.5,33,60059,Max Kilman,3-5-1-1,Chris Kavanagh,Match Report,4,2,19,1,0,0,2024,WolverhamptonWanderers,Late
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,L,1,2,Arsenal,0.6,2.9,32,60312,Séamus Coleman,4-4-1-1,Michael Oliver,Match Report,5,2,20.3,2,0,0,2024,Everton,Late
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,L,2,4,Newcastle Utd,1.1,3.4,54,17124,Christian Nørgaard,04/03/2003,Simon Hooper,Match Report,10,5,15.9,1,0,0,2024,Brentford,Late
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,W,2,1,Burnley,1.7,1.2,28,21109,Ryan Yates,4-2-3-1,Graham Scott,Match Report,12,6,17.2,0,0,0,2024,NottinghamForest,Late
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,L,2,4,Fulham,2,1.1,41,12027,Carlton Morris,03/04/2003,Matt Donohue,Match Report,14,5,19.3,2,1,1,2024,LutonTown,Late
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,L,1,2,Nott'ham Forest,1.2,1.7,72,21109,Josh Cullen,04/04/2002,Graham Scott,Match Report,20,3,22.4,1,0,0,2024,Burnley,Late
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,L,0,3,Tottenham,1,3.1,25,29116,Jack Robinson,05/03/2002,Andy Madley,Match Report,6,1,18,1,0,0,2024,SheffieldUnited,Late
02/09/2023,15:00,Premier League,Matchweek 4,Sat,Home,W,5,1,Fulham,2.2,1.4,68,52899,Kyle Walker,4-2-3-1,Michael Oliver,Match Report,6,4,14.8,0,1,1,2024,ManchesterCity,regular
03/09/2023,16:30,Premier League,Matchweek 4,Sun,Home,W,3,1,Manchester Utd,2.3,0.9,55,60192,Martin Ødegaard,04/03/2003,Anthony Taylor,Match Report,17,5,15,0,0,0,2024,Arsenal,Late
03/09/2023,14:00,Premier League,Matchweek 4,Sun,Home,W,3,0,Aston Villa,2.5,0.7,63,50109,Trent Alexander-Arnold,04/03/2003,Simon Hooper,Match Report,17,4,14.7,0,0,0,2024,Liverpool,Early
03/09/2023,14:00,Premier League,Matchweek 4,Sun,Away,L,0,3,Liverpool,0.7,2.5,37,50109,John McGinn,04/04/2002,Simon Hooper,Match Report,9,3,12.5,0,0,0,2024,AstonVilla,Early
02/09/2023,15:00,Premier League,Matchweek 4,Sat,Away,W,5,2,Burnley,2.2,1.3,53,21750,Son Heung-min,4-2-3-1,Darren England,Match Report,21,11,19.3,0,0,0,2024,TottenhamHotspur,regular
02/09/2023,15:00,Premier League,Matchweek 4,Sat,Home,L,0,1,Nott'ham Forest,2.3,0.8,75,39820,Ben Chilwell,03/04/2003,Tim Robinson,Match Report,21,2,17.7,2,0,0,2024,Chelsea,regular
02/09/2023,17:30,Premier League,Matchweek 4,Sat,Away,L,1,3,Brighton,1.2,1.3,44,31620,Kieran Trippier,04/03/2003,Stuart Attwell,Match Report,9,2,14.6,0,0,0,2024,NewcastleUnited,evening
03/09/2023,16:30,Premier League,Matchweek 4,Sun,Away,L,1,3,Arsenal,0.9,2.3,45,60192,Bruno Fernandes,4-2-3-1,Anthony Taylor,Match Report,10,2,16.5,0,0,0,2024,ManchesterUnited,Late
01/09/2023,20:00,Premier League,Matchweek 4,Fri,Away,W,2,1,Luton Town,1,1.4,61,10802,Kurt Zouma,4-2-3-1,Paul Tierney,Match Report,9,3,16.3,0,0,0,2024,WestHamUnited,Occasional
03/09/2023,14:00,Premier League,Matchweek 4,Sun,Home,W,3,2,Wolves,2.1,1.2,43,24741,Joel Ward,04/03/2003,Robert Jones,Match Report,16,10,13.8,1,0,0,2024,CrystalPalace,Early
02/09/2023,17:30,Premier League,Matchweek 4,Sat,Home,W,3,1,Newcastle Utd,1.3,1.2,56,31620,Lewis Dunk,4-2-3-1,Stuart Attwell,Match Report,15,6,17.3,0,0,0,2024,BrightonandHoveAlbion,evening
02/09/2023,15:00,Premier League,Matchweek 4,Sat,Away,D,2,2,Brentford,2.1,2.9,40,16973,Neto,4-2-3-1,Robert Madley,Match Report,12,5,15.1,0,0,0,2024,Bournemouth,regular
02/09/2023,15:00,Premier League,Matchweek 4,Sat,Away,L,1,5,Manchester City,1.4,2.2,32,52899,Tom Cairney,04/03/2003,Michael Oliver,Match Report,6,4,11.4,0,0,0,2024,Fulham,regular
03/09/2023,14:00,Premier League,Matchweek 4,Sun,Away,L,2,3,Crystal Palace,1.2,2.1,57,24741,Max Kilman,04/04/2002,Robert Jones,Match Report,12,4,16.2,0,0,0,2024,WolverhamptonWanderers,Early
02/09/2023,12:30,Premier League,Matchweek 4,Sat,Away,D,2,2,Sheffield Utd,2.5,1.2,54,31124,James Tarkowski,4-4-1-1,Andy Madley,Match Report,16,6,14.8,2,0,0,2024,Everton,Early
02/09/2023,15:00,Premier League,Matchweek 4,Sat,Home,D,2,2,Bournemouth,2.9,2.1,60,16973,Christian Nørgaard,04/03/2003,Robert Madley,Match Report,21,7,14.7,1,0,0,2024,Brentford,regular
02/09/2023,15:00,Premier League,Matchweek 4,Sat,Away,W,1,0,Chelsea,0.8,2.3,25,39820,Joe Worrall,03/04/2003,Tim Robinson,Match Report,7,3,19,0,0,0,2024,NottinghamForest,regular
01/09/2023,20:00,Premier League,Matchweek 4,Fri,Home,L,1,2,West Ham,1.4,1,39,10802,Carlton Morris,05/03/2002,Paul Tierney,Match Report,16,1,11.9,0,0,0,2024,LutonTown,Occasional
02/09/2023,15:00,Premier League,Matchweek 4,Sat,Home,L,2,5,Tottenham,1.3,2.2,47,21750,Josh Cullen,04/04/2002,Darren England,Match Report,16,4,17.9,1,0,0,2024,Burnley,regular
02/09/2023,12:30,Premier League,Matchweek 4,Sat,Home,D,2,2,Everton,1.2,2.5,46,31124,John Egan,03/05/2002,Andy Madley,Match Report,13,7,14.1,0,0,0,2024,SheffieldUnited,Early
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,W,3,1,West Ham,3.6,0.9,68,62475,Kyle Walker,4-2-3-1,Andy Madley,Match Report,29,13,16.4,1,0,0,2024,ManchesterCity,regular
17/09/2023,16:30,Premier League,Matchweek 5,Sun,Away,W,1,0,Everton,1,0.3,74,39217,Martin Ødegaard,04/03/2003,Simon Hooper,Match Report,13,4,17.4,0,0,0,2024,Arsenal,Late
16/09/2023,12:30,Premier League,Matchweek 5,Sat,Away,W,3,1,Wolves,2.5,0.6,65,31257,Andrew Robertson,04/03/2003,Michael Oliver,Match Report,16,5,15.8,0,0,0,2024,Liverpool,Early
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,W,3,1,Crystal Palace,3,1.2,66,40809,John McGinn,4-2-3-1,Darren England,Match Report,15,4,16.2,0,1,1,2024,AstonVilla,regular
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,W,2,1,Sheffield Utd,2.1,0.7,70,61706,Son Heung-min,4-2-3-1,Peter Bankes,Match Report,28,10,16.4,0,0,0,2024,TottenhamHotspur,regular
17/09/2023,14:00,Premier League,Matchweek 5,Sun,Away,D,0,0,Bournemouth,1.8,1,64,10421,Conor Gallagher,4-2-3-1,David Coote,Match Report,14,6,15,1,0,0,2024,Chelsea,Early
16/09/2023,17:30,Premier League,Matchweek 5,Sat,Home,W,1,0,Brentford,1.4,0.5,56,51670,Kieran Trippier,04/03/2003,Craig Pawson,Match Report,8,1,20.2,0,1,1,2024,NewcastleUnited,evening
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,L,1,3,Brighton,1,1.7,44,73592,Bruno Fernandes,4-1-2-1-2◆,Jarred Gillett,Match Report,14,4,18.6,1,0,0,2024,ManchesterUnited,regular
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,L,1,3,Manchester City,0.9,3.6,32,62475,Kurt Zouma,4-2-3-1,Andy Madley,Match Report,6,3,12.1,0,0,0,2024,WestHamUnited,regular
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,L,1,3,Aston Villa,1.2,3,34,40809,Joel Ward,4-4-1-1,Darren England,Match Report,6,3,16.1,0,0,0,2024,CrystalPalace,regular
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,W,3,1,Manchester Utd,1.7,1,56,73592,Lewis Dunk,4-2-3-1,Jarred Gillett,Match Report,10,8,17.1,0,0,0,2024,BrightonandHoveAlbion,regular
17/09/2023,14:00,Premier League,Matchweek 5,Sun,Home,D,0,0,Chelsea,1,1.8,36,10421,Neto,4-2-3-1,David Coote,Match Report,13,4,16.7,1,0,0,2024,Bournemouth,Early
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,W,1,0,Luton Town,1,1.1,77,24467,Tim Ream,04/03/2003,Michael Salisbury,Match Report,13,2,19.5,2,0,0,2024,Fulham,regular
16/09/2023,12:30,Premier League,Matchweek 5,Sat,Home,L,1,3,Liverpool,0.6,2.5,35,31257,Max Kilman,4-2-3-1,Michael Oliver,Match Report,11,2,18.7,0,0,0,2024,WolverhamptonWanderers,Early
17/09/2023,16:30,Premier League,Matchweek 5,Sun,Home,L,0,1,Arsenal,0.3,1,26,39217,James Tarkowski,04/05/2001,Simon Hooper,Match Report,8,1,21.6,0,0,0,2024,Everton,Late
16/09/2023,17:30,Premier League,Matchweek 5,Sat,Away,L,0,1,Newcastle Utd,0.5,1.4,44,51670,Christian Nørgaard,05/03/2002,Craig Pawson,Match Report,11,2,15.7,0,0,0,2024,Brentford,evening
18/09/2023,19:45,Premier League,Matchweek 5,Mon,Home,D,1,1,Burnley,0.7,0.5,46,28958,Joe Worrall,4-2-3-1,Robert Jones,Match Report,14,4,18.8,0,0,0,2024,NottinghamForest,Occasional
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,L,0,1,Fulham,1.1,1,23,24467,Tom Lockyer,05/03/2002,Michael Salisbury,Match Report,7,2,10,0,0,0,2024,LutonTown,regular
18/09/2023,19:45,Premier League,Matchweek 5,Mon,Away,D,1,1,Nott'ham Forest,0.5,0.7,54,28958,Josh Brownhill,4-2-3-1,Robert Jones,Match Report,10,3,18.9,0,0,0,2024,Burnley,Occasional
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,L,1,2,Tottenham,0.7,2.1,30,61706,Chris Basham,03/05/2002,Peter Bankes,Match Report,7,5,17.6,0,0,0,2024,SheffieldUnited,regular
23/09/2023,15:00,Premier League,Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,1.3,1,57,53413,Kyle Walker,4-2-3-1,Anthony Taylor,Match Report,7,4,17.2,2,0,0,2024,ManchesterCity,regular
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Home,D,2,2,Tottenham,1.8,1.4,47,60156,Martin Ødegaard,04/03/2003,Robert Jones,Match Report,12,4,16.9,0,1,1,2024,Arsenal,Early
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Home,W,3,1,West Ham,3,1.1,63,50136,Virgil van Dijk,04/03/2003,Chris Kavanagh,Match Report,21,6,19.3,2,1,1,2024,Liverpool,Early
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Away,W,1,0,Chelsea,1,1.3,47,39700,John McGinn,4-2-3-1,Jarred Gillett,Match Report,15,7,18.2,1,0,0,2024,AstonVilla,Early
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Away,D,2,2,Arsenal,1.4,1.8,53,60156,Son Heung-min,4-2-3-1,Robert Jones,Match Report,13,5,16,0,0,0,2024,TottenhamHotspur,Early
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Home,L,0,1,Aston Villa,1.3,1,53,39700,Conor Gallagher,4-2-3-1,Jarred Gillett,Match Report,10,4,17.8,0,0,0,2024,Chelsea,Early
24/09/2023,16:30,Premier League,Matchweek 6,Sun,Away,W,8,0,Sheffield Utd,3.9,0.9,58,31127,Kieran Trippier,04/03/2003,Stuart Attwell,Match Report,22,15,14.2,0,0,0,2024,NewcastleUnited,Late
23/09/2023,20:00,Premier League,Matchweek 6,Sat,Away,W,1,0,Burnley,1,1.1,39,21593,Bruno Fernandes,4-2-3-1,Tony Harrington,Match Report,11,4,15,0,0,0,2024,ManchesterUnited,Late
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Away,L,1,3,Liverpool,1.1,3,37,50136,Kurt Zouma,4-2-3-1,Chris Kavanagh,Match Report,11,4,13.5,0,0,0,2024,WestHamUnited,Early
23/09/2023,15:00,Premier League,Matchweek 6,Sat,Home,D,0,0,Fulham,0.3,0.6,51,25072,Joel Ward,4-2-3-1,Paul Tierney,Match Report,7,3,18.9,1,0,0,2024,CrystalPalace,regular
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Home,W,3,1,Bournemouth,1.9,1.1,61,31617,Lewis Dunk,4-2-3-1,John Brooks,Match Report,13,4,17.1,0,0,0,2024,BrightonandHoveAlbion,Early
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Away,L,1,3,Brighton,1.1,1.9,39,31617,Neto,4-2-3-1,John Brooks,Match Report,12,3,17.6,1,0,0,2024,Bournemouth,Early
23/09/2023,15:00,Premier League,Matchweek 6,Sat,Away,D,0,0,Crystal Palace,0.6,0.3,49,25072,Tim Ream,04/03/2003,Paul Tierney,Match Report,10,5,18.7,1,0,0,2024,Fulham,regular
23/09/2023,15:00,Premier League,Matchweek 6,Sat,Away,D,1,1,Luton Town,0.6,2.1,43,10893,Max Kilman,4-2-3-1,Joshua Smith,Match Report,3,3,7,0,0,0,2024,WolverhamptonWanderers,regular
23/09/2023,17:30,Premier League,Matchweek 6,Sat,Away,W,3,1,Brentford,1.9,1,43,16981,James Tarkowski,4-4-1-1,Michael Oliver,Match Report,18,6,17.8,0,0,0,2024,Everton,evening
23/09/2023,17:30,Premier League,Matchweek 6,Sat,Home,L,1,3,Everton,1,1.9,57,16981,Christian Nørgaard,04/03/2003,Michael Oliver,Match Report,12,2,13.9,1,0,0,2024,Brentford,evening
23/09/2023,15:00,Premier League,Matchweek 6,Sat,Away,L,0,2,Manchester City,1,1.3,43,53413,Serge Aurier,05/04/2001,Anthony Taylor,Match Report,10,3,17.8,1,0,0,2024,NottinghamForest,regular
23/09/2023,15:00,Premier League,Matchweek 6,Sat,Home,D,1,1,Wolves,2.1,0.6,57,10893,Tom Lockyer,03/04/2003,Joshua Smith,Match Report,19,3,17.3,0,1,1,2024,LutonTown,regular
23/09/2023,20:00,Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester Utd,1.1,1,61,21593,Josh Brownhill,04/03/2003,Tony Harrington,Match Report,12,4,15.6,0,0,0,2024,Burnley,Late
24/09/2023,16:30,Premier League,Matchweek 6,Sun,Home,L,0,8,Newcastle Utd,0.9,3.9,42,31127,John Egan,03/04/2003,Stuart Attwell,Match Report,9,1,13.7,0,0,0,2024,SheffieldUnited,Late
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,L,1,2,Wolves,0.9,0.4,68,31415,Kyle Walker,4-2-3-1,Craig Pawson,Match Report,23,8,19.3,1,0,0,2024,ManchesterCity,regular
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,W,4,0,Bournemouth,3.4,0.6,57,11193,Martin Ødegaard,04/03/2003,Michael Salisbury,Match Report,13,6,15.5,0,2,2,2024,Arsenal,regular
30/09/2023,17:30,Premier League,Matchweek 7,Sat,Away,L,1,2,Tottenham,1.3,2.2,36,62001,Virgil van Dijk,04/03/2003,Simon Hooper,Match Report,12,4,14.9,0,0,0,2024,Liverpool,evening
30/09/2023,12:30,Premier League,Matchweek 7,Sat,Home,W,6,1,Brighton,1.6,1.7,39,40636,John McGinn,4-2-3-1,Andy Madley,Match Report,19,9,17.9,1,0,0,2024,AstonVilla,Early
30/09/2023,17:30,Premier League,Matchweek 7,Sat,Home,W,2,1,Liverpool,2.2,1.3,64,62001,Son Heung-min,4-2-3-1,Simon Hooper,Match Report,24,8,19.8,0,0,0,2024,TottenhamHotspur,evening
02/10/2023,20:00,Premier League,Matchweek 7,Mon,Away,W,2,0,Fulham,1.7,1.1,44,24445,Conor Gallagher,04/03/2003,Tim Robinson,Match Report,11,4,19.8,1,0,0,2024,Chelsea,Occasional
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,W,2,0,Burnley,3.1,0.6,53,51687,Jamaal Lascelles,04/03/2003,Thomas Bramall,Match Report,19,6,15.8,0,1,1,2024,NewcastleUnited,regular
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,L,0,1,Crystal Palace,1.3,0.9,77,73428,Bruno Fernandes,4-2-3-1,Chris Kavanagh,Match Report,19,3,15.5,0,0,0,2024,ManchesterUnited,regular
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,W,2,0,Sheffield Utd,2.1,1.1,52,62459,Kurt Zouma,4-2-3-1,Graham Scott,Match Report,20,8,12.6,1,0,0,2024,WestHamUnited,regular
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,W,1,0,Manchester Utd,0.9,1.3,23,73428,Joel Ward,04/03/2003,Chris Kavanagh,Match Report,8,2,13.5,0,0,0,2024,CrystalPalace,regular
30/09/2023,12:30,Premier League,Matchweek 7,Sat,Away,L,1,6,Aston Villa,1.7,1.6,61,40636,Lewis Dunk,4-2-3-1,Andy Madley,Match Report,11,3,15.4,0,0,0,2024,BrightonandHoveAlbion,Early
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,L,0,4,Arsenal,0.6,3.4,43,11193,Neto,4-2-3-1,Michael Salisbury,Match Report,8,1,14.1,0,0,0,2024,Bournemouth,regular
02/10/2023,20:00,Premier League,Matchweek 7,Mon,Home,L,0,2,Chelsea,1.1,1.7,56,24445,Tim Ream,04/03/2003,Tim Robinson,Match Report,10,3,13.2,0,0,0,2024,Fulham,Occasional
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,W,2,1,Manchester City,0.4,0.9,32,31415,Max Kilman,03/04/2003,Craig Pawson,Match Report,3,1,11.4,0,0,0,2024,WolverhamptonWanderers,regular
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,L,1,2,Luton Town,2.9,0.9,67,39289,James Tarkowski,4-4-1-1,Anthony Taylor,Match Report,23,4,14.4,0,0,0,2024,Everton,regular
01/10/2023,14:00,Premier League,Matchweek 7,Sun,Away,D,1,1,Nott'ham Forest,1.6,0.5,59,29004,Christian Nørgaard,04/03/2003,Paul Tierney,Match Report,18,3,14.1,0,0,0,2024,Brentford,Early
01/10/2023,14:00,Premier League,Matchweek 7,Sun,Home,D,1,1,Brentford,0.5,1.6,41,29004,Serge Aurier,04/03/2003,Paul Tierney,Match Report,6,1,15.4,0,0,0,2024,NottinghamForest,Early
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,W,2,1,Everton,0.9,2.9,33,39289,Tom Lockyer,03/04/2003,Anthony Taylor,Match Report,9,2,13.4,0,0,0,2024,LutonTown,regular
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,L,0,2,Newcastle Utd,0.6,3.1,47,51687,Josh Brownhill,4-2-3-1,Thomas Bramall,Match Report,8,2,16.3,0,0,0,2024,Burnley,regular
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,L,0,2,West Ham,1.1,2.1,48,62459,John Egan,03/05/2002,Graham Scott,Match Report,16,2,15.7,0,0,0,2024,SheffieldUnited,regular
08/10/2023,16:30,Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,0.5,0.4,51,60233,Kyle Walker,04/03/2003,Michael Oliver,Match Report,4,0,14.9,0,0,0,2024,ManchesterCity,Late
08/10/2023,16:30,Premier League,Matchweek 8,Sun,Home,W,1,0,Manchester City,0.4,0.5,49,60233,Martin Ødegaard,04/03/2003,Michael Oliver,Match Report,12,2,19.2,0,0,0,2024,Arsenal,Late
08/10/2023,14:00,Premier League,Matchweek 8,Sun,Away,D,2,2,Brighton,2.3,2.3,54,31752,Virgil van Dijk,04/03/2003,Anthony Taylor,Match Report,13,3,18.8,0,1,1,2024,Liverpool,Early
08/10/2023,14:00,Premier League,Matchweek 8,Sun,Away,D,1,1,Wolves,1.6,1.7,53,31425,John McGinn,04/04/2002,Robert Jones,Match Report,18,4,16.6,0,0,0,2024,AstonVilla,Early
07/10/2023,12:30,Premier League,Matchweek 8,Sat,Away,W,1,0,Luton Town,1.9,0.8,66,10290,Son Heung-min,4-2-3-1,John Brooks,Match Report,15,4,16.9,1,0,0,2024,TottenhamHotspur,Early
07/10/2023,15:00,Premier League,Matchweek 8,Sat,Away,W,4,1,Burnley,1.9,0.7,62,21654,Conor Gallagher,04/03/2003,Stuart Attwell,Match Report,8,4,18.1,0,1,1,2024,Chelsea,regular
08/10/2023,14:00,Premier League,Matchweek 8,Sun,Away,D,2,2,West Ham,2,1.2,64,62473,Jamaal Lascelles,04/03/2003,Peter Bankes,Match Report,10,3,12.1,0,0,0,2024,NewcastleUnited,Early
07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,W,2,1,Brentford,1.4,0.9,64,73453,Bruno Fernandes,4-2-3-1,Andy Madley,Match Report,21,8,18.3,1,0,0,2024,ManchesterUnited,regular
08/10/2023,14:00,Premier League,Matchweek 8,Sun,Home,D,2,2,Newcastle Utd,1.2,2,36,62473,Kurt Zouma,4-2-3-1,Peter Bankes,Match Report,5,3,14.9,1,0,0,2024,WestHamUnited,Early
07/10/2023,17:30,Premier League,Matchweek 8,Sat,Home,D,0,0,Nott'ham Forest,0.8,1,52,25017,Marc Guéhi,04/03/2003,Craig Pawson,Match Report,8,2,15.2,0,0,0,2024,CrystalPalace,evening
08/10/2023,14:00,Premier League,Matchweek 8,Sun,Home,D,2,2,Liverpool,2.3,2.3,46,31752,Lewis Dunk,4-2-3-1,Anthony Taylor,Match Report,14,3,16.9,2,0,0,2024,BrightonandHoveAlbion,Early
07/10/2023,15:00,Premier League,Matchweek 8,Sat,Away,L,0,3,Everton,0.7,2.4,52,38815,Neto,4-2-3-1,David Coote,Match Report,11,3,16.2,0,0,0,2024,Bournemouth,regular
07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,W,3,1,Sheffield Utd,2.2,0.6,60,24361,Tim Ream,04/03/2003,Samuel Barrott,Match Report,20,6,20.2,0,0,0,2024,Fulham,regular
08/10/2023,14:00,Premier League,Matchweek 8,Sun,Home,D,1,1,Aston Villa,1.7,1.6,47,31425,Max Kilman,03/04/2003,Robert Jones,Match Report,8,3,16,0,0,0,2024,WolverhamptonWanderers,Early
07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,W,3,0,Bournemouth,2.4,0.7,48,38815,James Tarkowski,4-4-1-1,David Coote,Match Report,25,8,15.8,0,0,0,2024,Everton,regular
07/10/2023,15:00,Premier League,Matchweek 8,Sat,Away,L,1,2,Manchester Utd,0.9,1.4,36,73453,Christian Nørgaard,03/05/2002,Andy Madley,Match Report,11,3,17.3,0,0,0,2024,Brentford,regular
07/10/2023,17:30,Premier League,Matchweek 8,Sat,Away,D,0,0,Crystal Palace,1,0.8,48,25017,Serge Aurier,04/03/2003,Craig Pawson,Match Report,16,5,18.4,0,0,0,2024,NottinghamForest,evening
07/10/2023,12:30,Premier League,Matchweek 8,Sat,Home,L,0,1,Tottenham,0.8,1.9,34,10290,Tom Lockyer,04/04/2002,John Brooks,Match Report,12,2,16.3,0,0,0,2024,LutonTown,Early
07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,L,1,4,Chelsea,0.7,1.9,38,21654,Josh Brownhill,04/03/2003,Stuart Attwell,Match Report,10,3,18.2,1,0,0,2024,Burnley,regular
07/10/2023,15:00,Premier League,Matchweek 8,Sat,Away,L,1,3,Fulham,0.6,2.2,40,24361,Chris Basham,03/05/2002,Samuel Barrott,Match Report,5,2,16.6,0,0,0,2024,SheffieldUnited,regular
21/10/2023,15:00,Premier League,Matchweek 9,Sat,Home,W,2,1,Brighton,0.8,0.8,55,53466,Kyle Walker,3-2-4-1,Robert Jones,Match Report,10,5,18.8,1,0,0,2024,ManchesterCity,regular
21/10/2023,17:30,Premier League,Matchweek 9,Sat,Away,D,2,2,Chelsea,1,1.3,56,39723,Martin Ødegaard,04/03/2003,Chris Kavanagh,Match Report,13,3,14.3,0,0,0,2024,Arsenal,evening
21/10/2023,12:30,Premier League,Matchweek 9,Sat,Home,W,2,0,Everton,2.2,0.1,77,50201,Virgil van Dijk,04/03/2003,Craig Pawson,Match Report,25,5,22.4,1,1,1,2024,Liverpool,Early
22/10/2023,16:30,Premier League,Matchweek 9,Sun,Home,W,4,1,West Ham,1.9,1.1,58,41734,John McGinn,04/04/2002,David Coote,Match Report,14,6,19.6,0,1,1,2024,AstonVilla,Late
23/10/2023,20:00,Premier League,Matchweek 9,Mon,Home,W,2,0,Fulham,1.5,1,55,61286,Son Heung-min,4-2-3-1,Anthony Taylor,Match Report,15,5,17.2,0,0,0,2024,TottenhamHotspur,Occasional
21/10/2023,17:30,Premier League,Matchweek 9,Sat,Home,D,2,2,Arsenal,1.3,1,44,39723,Conor Gallagher,4-2-3-1,Chris Kavanagh,Match Report,10,4,20.4,0,1,1,2024,Chelsea,evening
21/10/2023,15:00,Premier League,Matchweek 9,Sat,Home,W,4,0,Crystal Palace,2.4,1.2,59,52189,Jamaal Lascelles,04/03/2003,Tim Robinson,Match Report,10,7,10.2,0,0,0,2024,NewcastleUnited,regular
21/10/2023,20:00,Premier League,Matchweek 9,Sat,Away,W,2,1,Sheffield Utd,1.1,1.4,62,31543,Bruno Fernandes,4-2-3-1,Michael Oliver,Match Report,14,5,20.6,1,0,0,2024,ManchesterUnited,Late
